word,definition
vassal,a person holding a fief; a person who owes allegiance and service to a feudal lord
vastly,to an exceedingly great extent or degree
veadar,included seven times in every 19 years
vector,a variable quantity that can be resolved into components
vedism,the form of Hinduism that revolves primarily around the mythic version and ritual ideologies in the Vedas
vedist,a scholar of or an authority on the Vedas
veiled,"to obscure, or conceal with or as if with a veil"
veinal,relating to the veins of plants
veined,make a veinlike pattern
vellum,a heavy creamy-colored paper resembling parchment
velvet,a silky densely piled fabric with a plain back
vendee,a person who buys
vender,someone who promotes or exchanges goods or services for money
vendor,someone who promotes or exchanges goods or services for money
vendue,the public sale of something to the highest bidder
veneer,coating consisting of a thin layer of superior wood glued to a base of inferior wood
venial,warranting only temporal punishment
venice,the provincial capital of Veneto; built on 118 islands within a lagoon in the Gulf of Venice; has canals instead of streets; one of Italy's major ports and a famous tourist attraction
venose,having or showing markings that resemble veins
venous,of or contained in or performing the function of the veins
venter,a speaker who expresses or gives vent to a personal opinion or grievance
venula,a minute vein continuous with a capillary
venule,a minute vein continuous with a capillary
verbal,communicated in the form of words
verdin,very small yellow-headed titmouse of western North America
verdun,a battle in World War I (1916); in some of the bloodiest fighting in World War I the German offensive was stopped
verger,a church officer who takes care of the interior of the building and acts as an attendant (carries the verge) during ceremonies
verify,confirm the truth of
verily,in truth; certainly; ; - Ps 37:3
verity,conformity to reality or actuality
vermes,the narrow central part of the cerebellum between the two hemispheres
vermin,an irritating or obnoxious person
vermis,the narrow central part of the cerebellum between the two hemispheres
vernal,suggestive of youth; vigorous and fresh
verona,a city in Veneto on the River Adige
versed,an injectable form of benzodiazepine (trade name Versed) useful for sedation and for reducing pain during uncomfortable medical procedures
vertex,the point of intersection of lines or the point opposite the base of a figure
vervet,South African monkey with black face and hands
vesper,a planet (usually Venus) seen at sunset in the western sky
vespid,mostly social nest-building wasps
vessel,a tube in which a body fluid circulates
vestal,a chaste woman
vestas,(Roman mythology) goddess of the hearth and its fire whose flame was tended by vestal virgins; counterpart of Greek Hestia
vestry,in the Protestant Episcopal Church: a committee elected by the congregation to work with the churchwardens in managing the temporal affairs of the church
viable,capable of being done with means at hand and circumstances as they are
vibrio,curved rodlike motile bacterium
victim,an unfortunate person who suffers from some adverse circumstance
victor,a combatant who is able to defeat rivals
vicuna,the wool of the vicuna
vienna,the capital and largest city of Austria; located on the Danube in northeastern Austria; was the home of Beethoven and Brahms and Haydn and Mozart and Schubert and Strauss
viewer,a close observer; someone who looks at something (such as an exhibition of some kind)
viking,any of the Scandinavian people who raided the coasts of Europe from the 8th to the 11th centuries
vilely,in a vile manner
vilify,spread negative information about
villus,a minute hairlike projection on mucous membrane
vinery,a farm of grapevines where wine grapes are produced
vinous,of or relating to wine
violet,any of numerous low-growing violas with small flowers
violin,bowed stringed instrument that is the highest member of the violin family; this instrument has four strings and a hollow body and an unfretted fingerboard and is played with a bow
vipera,type genus of the Viperidae
virago,a noisy or scolding or domineering woman
virgin,a person who has never had sex
virile,characterized by energy and vigor
virtue,the quality of doing what is right and avoiding what is wrong
visage,the human face (`kisser' and `smiler' and `mug' are informal terms for `face' and `phiz' is British)
viscid,having the sticky properties of an adhesive
viscus,a main organ that is situated inside the body
vishnu,the sustainer; a Hindu divinity worshipped as the preserver of worlds
vision,a vivid mental image
visual,relating to or using sight
vitals,a bodily organ that is essential for life
vivify,give new life or energy to
vizier,a high official in a Muslim government (especially in the Ottoman Empire)
voiced,give voice to
voicer,someone who regulates the tone of organ pipes
voided,declare invalid
voider,an official who can invalidate or nullify
volans,a small constellation in the polar region of the southern hemisphere near Dorado and Carina
volant,with wings extended in a flying position
volley,rapid simultaneous discharge of firearms
volume,the amount of 3-dimensional space occupied by an object
volute,ornament consisting of a curve on a plane that winds around a center with an increasing distance from the center
voodoo,a charm superstitiously believed to embody magical powers
vortex,the shape of something rotating rapidly
votary,one bound by vows to a religion or life of worship or service
voting,a choice that is made by counting the number of people in favor of each alternative
votive,dedicated in fulfillment of a vow
votyak,a member of the Finno-Ugric-speaking people living in eastern European Russia
voyage,an act of traveling by water
voyeur,a viewer who enjoys seeing the sex acts or sex organs of others
vulcan,(Roman mythology) god of fire and metal working; counterpart of Greek Hephaestus
vulgar,lacking refinement or cultivation or taste
vulpes,foxes
vultur,a bird that is usually restricted to the Andean condor
vulval,of or relating to the vulva
